PASSENGER LIST,
No average data for Passenger List, so Run 1 selected.,
This data is for all the passengers generated over complete duration of the simulation,
Total number of passengers,,,,,543,
Time last passenger arrived at destination (s),,,,,12:55:50.46550,

Time,Arrival,Destination,Mass,Capacity,Loading,Unloading,Elevator,Time,Time,Waiting,Transit,Actual,Reverse,
Arrived,Floor,Floor,,Factor,Time,Time,Used,Elevator,Reached,Time,Time,Destination,Journey,
,,,,,,,,Arrived,Destination,
(s),,,(kg),(%),(s),(s),(s),(s),(s),(s),(s),
01:00:02.3602,Level 1,Level 5,75.,80.0,1.2,1.2,1,01:00:02.3602,01:00:18.3618,0.0,15.9,Level 5,0,
01:00:05.3605,Level 12,Level 1,75.,80.0,1.2,1.2,3,01:00:26.3626,01:00:51.3651,21.2,24.4,Level 1,0,
01:00:08.3608,Level 1,Level 15,75.,80.0,1.2,1.2,4,01:00:08.3608,01:01:03.3663,0.0,54.7,Level 15,0,
01:00:11.3611,Level 3,Level 1,75.,80.0,1.2,1.2,2,01:00:17.3617,01:00:31.3631,6.3,13.6,Level 1,0,
01:00:12.3612,Level 1,Level 15,75.,80.0,1.2,1.2,4,01:00:08.3608,01:01:03.3663,0.0,50.7,Level 15,0,
01:00:13.3613,Level 1,Level 3,75.,80.0,1.2,1.2,4,01:00:08.3608,01:00:26.3626,0.0,12.9,Level 3,0,
01:00:13.3613,Level 1,Level 10,75.,80.0,1.2,1.2,4,01:00:08.3608,01:00:46.3646,0.0,32.5,Level 10,0,
01:00:15.3615,Level 4,Level 1,75.,80.0,1.2,1.2,1,01:00:30.3630,01:00:45.3645,14.9,14.8,Level 1,0,
01:00:20.3620,Level 1,Level 12,75.,80.0,1.2,1.2,2,01:00:31.3631,01:01:27.3687,10.9,55.8,Level 12,0,
01:00:23.3623,Level 1,Level 9,75.,80.0,1.2,1.2,2,01:00:31.3631,01:01:12.3672,7.9,41.0,Level 9,0,
01:00:25.3625,Level 1,Level 6,75.,80.0,1.2,1.2,2,01:00:31.3631,01:00:57.3657,5.9,26.3,Level 6,0,
01:00:28.3628,Level 16,Level 1,75.,80.0,1.2,1.2,1,01:01:15.3675,01:02:32.3752,47.1,76.5,Level 1,0,
01:00:34.3634,Level 15,Level 1,75.,80.0,1.2,1.2,4,01:01:11.3671,01:02:25.3745,37.1,73.9,Level 1,0,
01:00:39.3639,Level 14,Level 1,75.,80.0,1.2,1.2,4,01:01:23.3683,01:02:25.3745,44.1,61.9,Level 1,0,
01:00:40.3640,Level 1,Level 13,75.,80.0,1.2,1.2,2,01:00:40.3640,01:01:39.3699,0.0,58.7,Level 13,0,
01:00:46.3646,Level 6,Level 1,75.,80.0,1.2,1.2,4,01:02:07.3727,01:02:25.3745,80.6,18.3,Level 1,0,
01:00:46.3646,Level 10,Level 7,75.,80.0,1.2,1.2,1,01:01:35.3695,01:02:12.3732,48.7,37.3,Level 7,0,
01:00:47.3647,Level 1,Level 16,75.,80.0,1.2,1.2,1,01:00:45.3645,01:01:15.3675,0.0,28.1,Level 16,0,
01:00:53.3653,Level 1,Level 4,75.,80.0,1.2,1.2,3,01:00:51.3651,01:01:19.3679,0.0,25.5,Level 4,0,
01:00:54.3654,Level 1,Level 10,75.,80.0,1.2,1.2,3,01:00:51.3651,01:01:37.3697,0.0,42.8,Level 10,0,
01:00:59.3659,Level 2,Level 14,75.,80.0,1.2,1.2,3,01:01:05.3665,01:01:53.3713,5.9,47.9,Level 14,0,
01:01:04.3664,Level 1,Level 2,75.,80.0,1.2,1.2,3,01:02:31.3751,01:02:49.3769,86.7,18.0,Level 2,0,
01:01:04.3664,Level 1,Level 14,75.,80.0,1.2,1.2,3,01:02:31.3751,01:03:47.3827,86.7,76.7,Level 14,0,
01:01:07.3667,Level 1,Level 16,75.,80.0,1.2,1.2,4,01:02:25.3745,01:03:40.3820,77.9,75.5,Level 16,0,
01:01:08.3668,Level 9,Level 1,75.,80.0,1.2,1.2,1,01:01:47.3707,01:02:32.3752,38.7,44.9,Level 1,0,
01:01:10.3670,Level 3,Level 1,75.,80.0,1.2,1.2,2,01:02:18.3738,01:02:31.3751,67.8,13.6,Level 1,0,
01:01:10.3670,Level 13,Level 1,75.,80.0,1.2,1.2,4,01:01:35.3695,01:02:25.3745,25.1,49.9,Level 1,0,
01:01:16.3676,Level 1,Level 16,75.,80.0,1.2,1.2,2,01:02:31.3751,01:03:29.3809,75.4,57.4,Level 16,0,
01:01:23.3683,Level 1,Level 9,75.,80.0,1.2,1.2,3,01:02:31.3751,01:03:20.3800,67.7,48.7,Level 9,0,
01:01:23.3683,Level 13,Level 1,75.,80.0,1.2,1.2,4,01:01:35.3695,01:02:25.3745,12.1,49.9,Level 1,0,
01:01:25.3685,Level 1,Level 12,75.,80.0,1.2,1.2,4,01:02:25.3745,01:03:23.3803,59.9,58.3,Level 12,0,
01:01:25.3685,Level 7,Level 1,75.,80.0,1.2,1.2,4,01:01:55.3715,01:02:25.3745,29.6,30.3,Level 1,0,
01:01:33.3693,Level 9,Level 12,75.,80.0,1.2,1.2,4,01:02:58.3778,01:03:23.3803,84.7,25.6,Level 12,0,
01:01:35.3695,Level 8,Level 1,75.,80.0,1.2,1.2,1,01:01:59.3719,01:02:32.3752,23.7,32.9,Level 1,0,
01:01:35.3695,Level 15,Level 1,75.,80.0,1.2,1.2,2,01:01:52.3712,01:02:31.3751,17.3,39.1,Level 1,0,
01:01:47.3707,Level 6,Level 1,75.,80.0,1.2,1.2,4,01:02:07.3727,01:02:25.3745,19.6,18.3,Level 1,0,
01:01:50.3710,Level 11,Level 1,75.,80.0,1.2,1.2,3,01:02:08.3728,01:02:31.3751,17.6,23.2,Level 1,0,
01:01:54.3714,Level 1,Level 16,75.,80.0,1.2,1.2,2,01:02:31.3751,01:03:29.3809,37.4,57.4,Level 16,0,
01:02:02.3722,Level 8,Level 1,75.,80.0,1.2,1.2,1,01:01:59.3719,01:02:32.3752,0.0,29.6,Level 1,0,
01:02:02.3722,Level 16,Level 4,75.,80.0,1.2,1.2,2,01:03:29.3809,01:05:00.3900,86.8,91.5,Level 4,0,
01:02:03.3723,Level 1,Level 13,75.,80.0,1.2,1.2,3,01:02:31.3751,01:03:35.3815,27.8,64.7,Level 13,0,
01:02:04.3724,Level 1,Level 11,75.,80.0,1.2,1.2,4,01:02:25.3745,01:03:11.3791,20.9,46.3,Level 11,0,
01:02:07.3727,Level 1,Level 8,75.,80.0,1.2,1.2,2,01:02:31.3751,01:02:57.3777,24.4,25.5,Level 8,0,
01:02:11.3731,Level 1,Level 15,75.,80.0,1.2,1.2,3,01:02:31.3751,01:03:59.3839,19.8,88.7,Level 15,0,
01:02:13.3733,Level 7,Level 1,75.,80.0,1.2,1.2,1,01:02:12.3732,01:02:32.3752,0.0,18.6,Level 1,0,
01:02:24.3744,Level 1,Level 16,75.,80.0,1.2,1.2,4,01:02:25.3745,01:03:40.3820,0.9,75.5,Level 16,0,
01:02:30.3750,Level 9,Level 1,75.,80.0,1.2,1.2,1,01:02:58.3778,01:03:57.3837,28.2,58.8,Level 1,0,
01:02:31.3751,Level 1,Level 12,75.,80.0,1.2,1.2,2,01:02:31.3751,01:03:13.3793,0.4,41.5,Level 12,0,
01:02:48.3768,Level 1,Level 15,75.,80.0,1.2,1.2,1,01:03:57.3837,01:06:26.3986,69.0,149.0,Level 15,0,
01:02:50.3770,Level 7,Level 1,75.,80.0,1.2,1.2,1,01:03:12.3792,01:03:57.3837,21.8,45.2,Level 1,0,
01:02:51.3771,Level 1,Level 3,75.,80.0,1.2,1.2,1,01:03:57.3837,01:04:30.3870,66.0,32.7,Level 3,0,
01:02:51.3771,Level 5,Level 16,75.,80.0,1.2,1.2,3,01:03:04.3784,01:04:11.3851,12.6,67.9,Level 16,0,
01:02:54.3774,Level 7,Level 1,75.,80.0,1.2,1.2,1,01:03:12.3792,01:03:57.3837,17.8,45.2,Level 1,0,
01:03:02.3782,Level 12,Level 1,75.,80.0,1.2,1.2,2,01:04:16.3856,01:05:16.3916,73.6,60.7,Level 1,0,
01:03:02.3782,Level 15,Level 1,75.,80.0,1.2,1.2,2,01:03:43.3823,01:05:16.3916,41.2,93.1,Level 1,0,
01:03:03.3783,Level 1,Level 10,75.,80.0,1.2,1.2,1,01:03:57.3837,01:05:36.3936,54.0,99.4,Level 10,0,
01:03:03.3783,Level 14,Level 1,75.,80.0,1.2,1.2,2,01:03:56.3836,01:05:16.3916,53.4,79.9,Level 1,0,
01:03:09.3789,Level 1,Level 3,75.,80.0,1.2,1.2,1,01:03:57.3837,01:04:30.3870,48.0,32.7,Level 3,0,
01:03:12.3792,Level 1,Level 9,75.,80.0,1.2,1.2,1,01:03:57.3837,01:05:24.3924,45.0,87.4,Level 9,0,
01:03:14.3794,Level 4,Level 1,75.,80.0,1.2,1.2,1,01:03:28.3808,01:03:57.3837,13.8,29.3,Level 1,0,
01:03:17.3797,Level 1,Level 14,75.,80.0,1.2,1.2,1,01:03:57.3837,01:06:14.3974,40.0,137.0,Level 14,0,
