ELEVATE,
Version 8.25,

JOB DATA,
Job Title,,,LanuchPeak,
Job No,,,,
Calculation Title,,,,
Made By,,,Xzx,
Checked By,,,,
Company,,,SMEC,
File/Date,,,LanuchPeak21.elvx   11 Nov 2021  09:21:13,

ANALYSIS DATA,
Analysis Type,,,,,Simulation,
Measurement system,,,,,Metric,
Dispatcher Algorithm,,,,,Group Collective   Traffic mode: Auto,
Time slice between simulation calculations (s),,,,,0.05,
No of time slices between screen updates,,,,,10,
No of simulations to run for each configuration,,,,,1,
No of learning runs,,,,,0,
Random number seed for passenger generator,,,,,400,

BUILDING DATA,
Floor Name,,Floor Level (m),,No of people,,Area (m²),,Area/person,,Entrance Floor,
Level 1,,0.00,,0.,,,,,,Yes,
Level 2,,3.00,,50.,,,,,,No,
Level 3,,6.00,,50.,,,,,,No,
Level 4,,9.00,,50.,,,,,,No,
Level 5,,12.00,,50.,,,,,,No,
Level 6,,15.00,,50.,,,,,,No,
Level 7,,18.00,,50.,,,,,,No,
Level 8,,21.00,,50.,,,,,,No,
Level 9,,24.00,,50.,,,,,,No,
Level 10,,27.00,,50.,,,,,,No,
Level 11,,30.00,,50.,,,,,,No,
Level 12,,33.00,,50.,,,,,,No,
Level 13,,36.00,,50.,,,,,,No,
Level 14,,39.00,,50.,,,,,,No,
Level 15,,42.00,,50.,,,,,,No,
Level 16,,45.00,,50.,,,,,,No,

Absenteeism (%),,,,,0.00,

Total building height,,,,,45.00,
Average floor height,,,,,2.81,
Total Population,,,,,750.0,
Average population/floor for populated floors,,,,,50.0,
No of Floors,,,,,16,

ELEVATOR DATA,
No of Elevators,,,,,4,
Capacity (kg),,,,,1000,
Car area (m²),,,,,2.40,
Door Pre-opening Time (s),,,,,0.00,
Door Open Time (s),,,,,2.00,
Door Close Time (s),,,,,2.00,
Speed (m/s),,,,,2.50,
Acceleration (m/s²),,,,,0.80,
Jerk (m/s³),,,,,1.00,
Start Delay (s),,,,,0.00,
Levelling Delay (s),,,,,0.00,
Home Floor,,,,,Level 1,



PASSENGER DATA,
Arrangement,,,Conventional for Single Deck elevators,
Template,,,Peters Research (CIBSE) modern office lunch peak,
Passenger Mass (kg),,,75,
Loading Time (s),,,1.20,
Unloading Time (s),,,1.20,
Stair Factor (%),,,0.00,
Capacity Factor (%),,,80.00,

Floor Name,,,Entrance Bias (%),
Level 1,,,100.0,

SIMULATION RESULTS,
Based on average of all runs over complete duration of the simulation,
Average Waiting Time (s),,,31.4   (+0.0/-0.0),
Longest Waiting Time (s),,,142.4   (+0.0/-0.0),
Average Transit Time (s),,,53.1   (+0.0/-0.0),
Longest Transit Time (s),,,152.3   (+0.0/-0.0),
Average Time to Destination (s),,,84.4   (+0.0/-0.0),
Longest Time to Destination (s),,,244.3   (+0.0/-0.0),


MONITORING RESULTS,
Monitoring results are based on an anlaysis of the whole simulation from start to finish (not a specific time period).,
Where there have been multiple runs the results shown are averages.,

,,,Car 1,Car 2,Car 3,Car 4,Total,
Up Motor Starts,,,99.0,111.0,99.0,113.0,422.0,
Down Motor Starts,,,103.0,91.0,110.0,94.0,398.0,
Total Motor Starts,,,202.0,202.0,209.0,207.0,820.0,
Total Distance Travelled,,,1806.0,1698.0,1797.0,1740.0,7041.0,
Total up running time (s),,,743.0,764.1,749.0,776.7,3032.8,
Total down running time (s),,,751.9,686.0,770.3,706.9,2915.1,
No of times dispatched from home,,,28.0,22.0,22.0,22.0,94.0,

Total up running time at in load range (s),
,,,Car 1,Car 2,Car 3,Car 4,Total,
0 to 10 %,,,293.7,199.5,207.6,227.4,928.2,
10 to 20 %,,,101.4,123.9,123.7,122.0,471.0,
20 to 30 %,,,63.0,122.1,116.0,92.3,393.4,
30 to 40 %,,,116.7,127.8,132.9,159.4,536.8,
40 to 50 %,,,29.1,44.6,32.3,44.3,150.3,
50 to 60 %,,,36.4,28.4,39.1,48.7,152.6,
60 to 70 %,,,77.8,77.6,62.5,63.1,281.0,
70 to 80 %,,,25.1,40.3,35.1,19.6,120.1,
80 to 90 %,,,0.0,0.0,0.0,0.0,0.0,
90 to 100 %,,,0.0,0.0,0.0,0.0,0.0,

Total down running time at in load range (s),
,,,Car 1,Car 2,Car 3,Car 4,Total,
0 to 10 %,,,294.2,256.4,232.1,265.3,1048.0,
10 to 20 %,,,93.8,72.2,124.1,122.7,412.8,
20 to 30 %,,,94.3,73.4,56.3,72.2,296.2,
30 to 40 %,,,136.9,193.0,116.0,118.4,564.3,
40 to 50 %,,,38.6,18.4,75.1,58.6,190.7,
50 to 60 %,,,35.6,32.0,43.2,28.7,139.5,
60 to 70 %,,,51.1,36.0,75.5,27.1,189.7,
70 to 80 %,,,7.6,4.8,48.3,14.0,74.7,
80 to 90 %,,,0.0,0.0,0.0,0.0,0.0,
90 to 100 %,,,0.0,0.0,0.0,0.0,0.0,


kgm,
,,,Car 1,Car 2,Car 3,Car 4,Total,
,,,377775.0,396000.0,451350.0,375075.0,1600200.0,

Total time idle (s),
,,,Car 1,Car 2,Car 3,Car 4,Total,
,,,41483.4,41528.2,41459.0,41494.6,165965.2,

Total time standby (s),
,,,Car 1,Car 2,Car 3,Car 4,Total,
,,,0.0,0.0,0.0,0.0,0.0,

Hall call analysis,
No of Hall Calls,,,Up,104,,,Down,339,,,Total,443,
Average Response Time (s),,,Up,35.6,,,Down,39.9,,,Both,38.9,

Hall call analysis by time of day,
Time,,No of Hall Calls,,,Average Response Time (s),
(5 mins starting),,Up,Down,,Up,Down,Average,
01:00,,14.0,38.0,,24.0,38.6,34.7,
01:05,,12.0,32.0,,40.3,44.2,43.2,
01:10,,7.0,28.0,,40.1,30.5,32.4,
12:15,,14.0,24.0,,12.7,19.7,17.1,
12:20,,7.0,32.0,,50.3,38.8,40.9,
12:25,,9.0,29.0,,53.3,52.6,52.8,
12:30,,6.0,34.0,,50.6,51.2,51.1,
12:35,,6.0,33.0,,60.6,41.7,44.6,
12:40,,9.0,32.0,,27.7,47.6,43.2,
12:45,,9.0,27.0,,36.5,37.9,37.6,
12:50,,11.0,30.0,,31.0,29.8,30.1,



Hall call analysis by floor no,
,,No of Hall Calls,,,Average Response Time (s),
,,Up,Down,,Up,Down,
Level 1,,60.0,0.0,,30.9,0.0,
Level 2,,4.0,22.0,,49.0,40.4,
Level 3,,4.0,20.0,,43.5,48.8,
Level 4,,5.0,24.0,,53.4,36.0,
Level 5,,5.0,21.0,,44.7,42.5,
Level 6,,2.0,22.0,,59.8,35.8,
Level 7,,6.0,22.0,,69.4,36.5,
Level 8,,3.0,19.0,,33.8,40.7,
Level 9,,3.0,24.0,,16.0,37.7,
Level 10,,4.0,25.0,,17.4,32.4,
Level 11,,1.0,21.0,,22.4,51.5,
Level 12,,2.0,22.0,,24.5,44.5,
Level 13,,0.0,25.0,,0.0,36.6,
Level 14,,5.0,23.0,,31.5,38.4,
Level 15,,0.0,25.0,,0.0,40.6,
Level 16,,0.0,24.0,,0.0,39.9,

Hall Call response time distribution,
Floor,,>0s &,>15s &,>30s &,>45s &,>60s &,>90s &,>150s,Average,
,,<=15s,<=30s,<=45s,<=60s,<=90s,<=150s,,Response(s),
Level 1,,27.0,10.0,4.0,8.0,6.0,5.0,0.0,30.9,
Level 2,,10.0,3.0,3.0,3.0,3.0,4.0,0.0,41.7,
Level 3,,4.0,7.0,3.0,3.0,4.0,3.0,0.0,47.9,
Level 4,,7.0,8.0,6.0,1.0,4.0,3.0,0.0,39.0,
Level 5,,7.0,2.0,5.0,7.0,2.0,3.0,0.0,42.9,
Level 6,,7.0,5.0,4.0,2.0,6.0,0.0,0.0,37.8,
Level 7,,8.0,6.0,1.0,3.0,7.0,3.0,0.0,43.6,
Level 8,,5.0,3.0,7.0,2.0,4.0,1.0,0.0,39.7,
Level 9,,5.0,10.0,4.0,4.0,3.0,1.0,0.0,35.3,
Level 10,,11.0,9.0,4.0,1.0,1.0,3.0,0.0,30.3,
Level 11,,3.0,5.0,2.0,3.0,7.0,2.0,0.0,50.2,
Level 12,,4.0,4.0,7.0,5.0,1.0,3.0,0.0,42.9,
Level 13,,7.0,5.0,5.0,2.0,6.0,0.0,0.0,36.6,
Level 14,,7.0,5.0,9.0,2.0,4.0,1.0,0.0,37.2,
Level 15,,7.0,2.0,5.0,4.0,6.0,1.0,0.0,40.6,
Level 16,,4.0,5.0,5.0,3.0,7.0,0.0,0.0,39.9,
Total,,123.0,89.0,74.0,53.0,71.0,33.0,0.0,38.9,

Car call analysis by time of day,
Time,,No of Car Calls,,Average Response Time (s),
(5 mins starting),
01:00,,49.0,,46.9,
01:05,,52.0,,58.4,
01:10,,41.0,,52.2,
01:15,,2.0,,21.1,
12:15,,39.0,,31.8,
12:20,,44.0,,47.2,
12:25,,48.0,,48.8,
12:30,,40.0,,53.0,
12:35,,43.0,,49.3,
12:40,,51.0,,51.7,
12:45,,40.0,,49.6,
12:50,,47.0,,56.5,
12:55,,3.0,,16.8,

Car call analysis by floor no,
,,No of Car Calls,,Average Response Time (s),
Level 1,,91.0,,53.9,
Level 2,,23.0,,21.3,
Level 3,,28.0,,22.1,
Level 4,,29.0,,31.2,
Level 5,,31.0,,35.4,
Level 6,,24.0,,34.5,
Level 7,,26.0,,35.3,
Level 8,,29.0,,46.2,
Level 9,,33.0,,47.4,
Level 10,,15.0,,55.6,
Level 11,,17.0,,53.3,
Level 12,,26.0,,55.7,
Level 13,,28.0,,54.6,
Level 14,,32.0,,70.2,
Level 15,,30.0,,73.0,
Level 16,,37.0,,79.0,

Car Call response time distribution,
Floor,,>0s &,>15s &,>30s &,>45s &,>60s &,>90s &,>150s,Average,
,,<=15s,<=30s,<=45s,<=60s,<=90s,<=150s,,Response(s),
Level 1,,5.0,21.0,15.0,19.0,15.0,16.0,0.0,53.9,
Level 2,,15.0,5.0,0.0,1.0,2.0,0.0,0.0,21.3,
Level 3,,11.0,12.0,4.0,0.0,1.0,0.0,0.0,22.1,
Level 4,,6.0,12.0,6.0,1.0,4.0,0.0,0.0,31.2,
Level 5,,5.0,12.0,6.0,4.0,3.0,1.0,0.0,35.4,
Level 6,,3.0,7.0,9.0,3.0,2.0,0.0,0.0,34.5,
Level 7,,3.0,8.0,7.0,5.0,3.0,0.0,0.0,35.3,
Level 8,,2.0,3.0,9.0,10.0,4.0,1.0,0.0,46.2,
Level 9,,2.0,5.0,8.0,8.0,10.0,0.0,0.0,47.4,
Level 10,,1.0,2.0,2.0,3.0,6.0,1.0,0.0,55.6,
Level 11,,1.0,3.0,2.0,4.0,6.0,1.0,0.0,53.3,
Level 12,,3.0,1.0,5.0,4.0,13.0,0.0,0.0,55.7,
Level 13,,3.0,2.0,4.0,8.0,9.0,2.0,0.0,54.6,
Level 14,,3.0,4.0,1.0,3.0,9.0,12.0,0.0,70.2,
Level 15,,2.0,4.0,4.0,1.0,6.0,13.0,0.0,73.0,
Level 16,,0.0,3.0,2.0,8.0,6.0,18.0,0.0,79.0,
Total,,65.0,104.0,84.0,82.0,99.0,65.0,0.0,49.6,



Breakdown of trips for ISO research,

PASSENGER LIST,
No average data for Passenger List, so Run 1 selected.,
This data is for all the passengers generated over complete duration of the simulation,
Total number of passengers,,,,,905,
Time last passenger arrived at destination (s),,,,,12:56:15.46575,

Time,Arrival,Destination,Mass,Capacity,Loading,Unloading,Elevator,Time,Time,Waiting,Transit,Actual,Reverse,
Arrived,Floor,Floor,,Factor,Time,Time,Used,Elevator,Reached,Time,Time,Destination,Journey,
,,,,,,,,Arrived,Destination,
(s),,,(kg),(%),(s),(s),(s),(s),(s),(s),(s),
01:00:00.3600,Level 1,Level 14,75.,80.0,1.2,1.2,1,01:00:00.3600,01:00:29.3629,0.0,28.8,Level 14,0,
01:00:00.3600,Level 12,Level 1,75.,80.0,1.2,1.2,3,01:00:24.3624,01:01:00.3660,24.2,35.5,Level 1,0,
01:00:02.3602,Level 4,Level 1,75.,80.0,1.2,1.2,2,01:00:15.3615,01:00:29.3629,12.7,14.8,Level 1,0,
01:00:03.3603,Level 15,Level 1,75.,80.0,1.2,1.2,4,01:00:28.3628,01:01:07.3667,24.8,39.1,Level 1,0,
01:00:04.3604,Level 1,Level 15,75.,80.0,1.2,1.2,1,01:00:00.3600,01:00:41.3641,0.0,36.7,Level 15,0,
01:00:17.3617,Level 5,Level 1,75.,80.0,1.2,1.2,4,01:00:51.3651,01:01:07.3667,33.9,15.9,Level 1,0,
01:00:27.3627,Level 1,Level 13,75.,80.0,1.2,1.2,2,01:00:29.3629,01:01:21.3681,2.4,51.1,Level 13,0,
